x,y,z,_,_,_,u,v,w,p,q,r
0.5525599193828807,0.3023525682927131,0.49717179183181,0.9986028563578487,-0.0389739749034906,0.0356737510996963,-0.000864891117344636,0.3013169275085833,0.3107304699695848,-0.01777948131839442,0.43112461780520117,-0.32440212965207227,0.00835116946385266
0.5556077150684564,0.3054975070299776,0.49699383533970565,0.9987426612175649,-0.0367843557845003,0.03404855993172991,-0.0008386895439980529,0.30818893227233235,0.3181856573118419,-0.017802640952997908,0.44586821544211497,-0.32641326107603125,0.008064839958278816
0.5587226313253323,0.3087148273591127,0.4968159467891765,0.9988775871249937,-0.03452646546002653,0.03241640259247281,-0.000816066878938448,0.3147407959779593,0.3252045108175389,-0.017766211339624468,0.4583781719099736,-0.3270430544163322,0.0077473086562155034
0.5619014610295318,0.31200010063325484,0.4966387047786281,0.9990065848080442,-0.03221124236852598,0.030783831277813013,-0.0007969360723559432,0.3209715910262354,0.33177432835828724,-0.017673720511507854,0.4687392197993432,-0.32643482258318346,0.007405688815975132
0.5651409940750156,0.315348781925967,0.49646265098740655,0.9991287710689625,-0.02984920068649071,0.029156711225522478,-0.0007811729090838865,0.32688162644133495,0.33788454307533233,-0.017529013353666,0.4770390510805117,-0.32472248859749675,0.007046464975747487
0.5684380290889749,0.3187562309860547,0.49628828737788927,0.9992434225832686,-0.027450416545746863,0.027540266417821726,-0.0007686229087083304,0.3324723191178195,0.3435266431980431,-0.017336177871714913,0.4833676350644708,-0.3220306808843753,0.006675505482590466
0.5717893839006163,0.32221773237089407,0.49611607410414654,0.9993499682731474,-0.025024517546928075,0.02593912468678886,-0.0007591076907089376,0.33774607325609785,0.3486940880407819,-0.017099477705918516,0.4878165538103357,-0.3184748881920004,0.006298078497121861
0.5751919048460675,0.3257285147248252,0.4959464280807038,0.9994479805802173,-0.02258067515464867,0.0243573617538928,-0.0007524307781485923,0.3427061681186058,0.3533822211192699,-0.01682328767249563,0.4904784990691169,-0.31416175110535816,0.005918874095186138
0.5786424749910469,0.32928376917626273,0.495779722168687,0.9995371659233028,-0.020127599537747155,0.022798543769423918,-0.0007483828257251807,0.347356653782062,0.3575881808677642,-0.016512034802299343,0.4914467937070361,-0.30918939706593823,0.00554202927418451
0.5821380213502083,0.3328786668326529,0.4956162849254059,0.9996173545791697,-0.01767353669664927,0.021265768144560538,-0.000746746273150916,0.3517022546691726,0.36131080957802525,-0.016170144655228407,0.49081496133805014,-0.3036478191502008,0.005171155515173069
